customer_id,name,email,age,gender,gv_plus_member,gv_plus_tier,registration_date,last_visit_date,recency_days,total_visits,total_spend,avg_ticket_price,pct_weekend_visits,pct_evening_visits,favourite_genre,preferred_location,acquisition_channel
GV000047,Wei Jie Ong,wei.jie.ong26@email.com,27,F,0,Free,2022-01-24,2024-12-03,29,8,604.18,75.52,0.798,0.186,Comedy,Yishun,GV App
GV000048,Wei Jie Ramachandran,wei.jie.ramachandran20@email.com,32,F,1,Platinum,2022-02-26,2024-11-25,37,8,505.21,63.15,0.492,0.555,Drama,JEM,Walk-in
GV000049,Zhen Wei Ong,zhen.wei.ong32@email.com,68,M,0,Free,2021-09-29,2024-07-29,156,1,13.66,13.66,0.522,0.335,Thriller,Kallang Leisure Park,Website
GV000050,Darren Chua,darren.chua13@email.com,55,F,1,Silver,2022-08-13,2024-11-24,38,19,1586.4,83.49,0.627,0.392,Romance,Yishun,Website
GV000051,Ling Ling Singh,ling.ling.singh92@email.com,57,F,1,Platinum,2023-01-08,2024-11-22,40,5,306.59,61.32,0.481,0.621,Action,Kallang Leisure Park,Website
GV000052,Karthik Kumar,karthik.kumar68@email.com,31,F,0,Free,2022-07-27,2024-07-12,173,2,26.82,13.41,0.571,0.506,Horror,Kallang Leisure Park,Social Media
GV000053,Ling Ling Lee,ling.ling.lee54@email.com,48,M,0,Free,2022-10-22,2024-12-12,20,35,921.54,26.33,0.817,0.976,Action,Jurong Point,Social Media
GV000054,Siti Chua,siti.chua64@email.com,69,Prefer not to say,0,Free,2022-05-05,2024-07-09,176,13,215.89,16.61,0.627,0.784,Horror,Vivocity,Walk-in
GV000055,Jun Hao Ong,jun.hao.ong84@email.com,62,F,0,Free,2024-10-22,2024-11-11,51,10,862.45,86.25,0.751,0.388,Romance,Bishan,Social Media
GV000056,Jasmine Lee,jasmine.lee70@email.com,51,F,1,Platinum,2024-05-31,2024-12-27,5,18,405.58,22.53,0.845,0.717,Action,Kallang Leisure Park,Walk-in
GV000057,Hui Min Lim,hui.min.lim53@email.com,38,M,1,Silver,2023-03-11,2024-11-10,52,10,719.19,71.92,0.668,0.169,Comedy,Kallang Leisure Park,Website
GV000058,Faiz Abdullah,faiz.abdullah47@email.com,24,M,1,Silver,2023-03-27,2024-12-09,23,19,1095.9,57.68,0.789,0.148,Comedy,Tampines,Partner Referral
GV000059,Priya Abdullah,priya.abdullah92@email.com,16,F,0,Free,2022-09-03,2024-10-22,71,2,27.91,13.96,0.449,0.358,Drama,Kallang Leisure Park,Walk-in
GV000060,Karthik Lim,karthik.lim33@email.com,62,M,1,Gold,2023-03-24,2024-12-03,29,31,953.34,30.75,0.766,0.725,Thriller,Tampines,GV App
GV000061,Marcus Singh,marcus.singh87@email.com,56,M,1,Platinum,2024-10-12,2024-12-12,20,34,912.58,26.84,0.964,0.942,Sci-Fi,JEM,Website
GV000062,Nadia Koh,nadia.koh92@email.com,68,F,1,Gold,2023-01-28,2024-11-21,41,19,1208.71,63.62,0.646,0.204,Animation,Paya Lebar,Walk-in
GV000063,Surya Yeo,surya.yeo94@email.com,61,F,1,Gold,2022-04-24,2024-12-06,26,15,850.92,56.73,0.893,0.239,Comedy,Kallang Leisure Park,Website
GV000064,Zhen Wei Wong,zhen.wei.wong10@email.com,61,M,0,Free,2023-08-13,2024-07-11,174,2,39.58,19.79,0.339,0.518,Drama,Kallang Leisure Park,GV App
GV000065,Amirah Yeo,amirah.yeo97@email.com,35,M,1,Platinum,2023-09-04,2024-12-22,10,8,465.11,58.14,0.572,0.746,Action,Kallang Leisure Park,GV App
GV000066,Hui Min Yeo,hui.min.yeo20@email.com,18,F,0,Free,2023-05-07,2024-12-24,8,35,1172.52,33.5,0.989,0.911,Thriller,Bishan,Walk-in
GV000067,Xiu Ying Chen,xiu.ying.chen58@email.com,35,M,0,Free,2024-10-17,2024-12-19,13,10,572.54,57.25,0.646,0.186,Animation,Tampines,Website
GV000068,Ling Ling Teo,ling.ling.teo84@email.com,22,M,0,Free,2024-08-31,2024-09-26,97,1,16.88,16.88,0.531,0.412,Horror,Vivocity,GV App
GV000069,Surya Lee,surya.lee72@email.com,24,M,0,Free,2023-10-02,2024-12-23,9,27,643.46,23.83,0.826,0.76,Action,Tampines,Website
GV000070,Wei Jie Hussain,wei.jie.hussain72@email.com,28,M,0,Free,2024-05-06,2024-06-21,194,4,63.76,15.94,0.511,0.369,Action,Yishun,Walk-in
GV000071,Chen Hao Tan,chen.hao.tan52@email.com,30,M,1,Platinum,2022-05-15,2024-12-17,15,18,441.64,24.54,0.868,0.779,Sci-Fi,Tampines,GV App
GV000072,Jia Qi Ng,jia.qi.ng86@email.com,42,F,1,Gold,2023-04-19,2024-11-18,44,7,444.5,63.5,0.439,0.845,Thriller,JEM,Partner Referral
GV000073,Jun Hao Nair,jun.hao.nair36@email.com,27,M,0,Free,2021-10-20,2024-12-18,14,32,798.4,24.95,0.881,0.75,Sci-Fi,JEM,Website
GV000074,Li Ting Wong,li.ting.wong53@email.com,41,F,1,Standard,2024-08-03,2024-08-21,133,5,80.05,16.01,0.514,0.493,Sci-Fi,JEM,Partner Referral
GV000075,Shreya Kumar,shreya.kumar13@email.com,35,M,0,Free,2022-09-09,2024-10-11,82,4,64.2,16.05,0.507,0.443,Animation,Bishan,Walk-in
GV000076,Jun Hao Koh,jun.hao.koh98@email.com,56,F,0,Free,2023-03-03,2024-12-16,16,27,699.0,25.89,0.882,0.737,Thriller,Yishun,Walk-in
GV000077,Hafiz Patel,hafiz.patel85@email.com,30,M,0,Free,2024-08-04,2024-08-01,153,6,99.08,16.51,0.408,0.332,Comedy,Vivocity,Walk-in
GV000078,Jun Hao Yeo,jun.hao.yeo39@email.com,37,F,1,Gold,2023-05-19,2024-12-15,17,16,1219.85,76.24,0.834,0.372,Comedy,Tampines,GV App
GV000079,Nicole Hussain,nicole.hussain39@email.com,16,F,0,Free,2022-01-12,2024-11-29,33,9,598.52,66.5,0.729,0.266,Romance,Bishan,GV App
GV000080,Ling Ling Lim,ling.ling.lim81@email.com,63,Prefer not to say,0,Free,2021-11-06,2024-06-24,191,1,14.77,14.77,0.581,0.336,Drama,Vivocity,Partner Referral
GV000081,Jun Hao Patel,jun.hao.patel64@email.com,40,M,1,Platinum,2022-01-05,2024-12-25,7,35,999.11,28.55,0.893,0.843,Thriller,Kallang Leisure Park,GV App
GV000082,Nadia Singh,nadia.singh77@email.com,43,F,0,Free,2022-07-12,2024-07-13,172,6,90.9,15.15,0.56,0.68,Animation,Vivocity,GV App
GV000083,Hafiz Chua,hafiz.chua40@email.com,62,F,0,Free,2023-03-19,2024-10-20,73,6,110.43,18.4,0.548,0.46,Romance,Kallang Leisure Park,Walk-in
GV000084,Priya Abdullah,priya.abdullah50@email.com,33,M,0,Free,2022-07-01,2024-05-28,218,13,362.86,27.91,0.584,0.799,Animation,Bishan,Social Media
GV000085,Hui Fen Yeo,hui.fen.yeo37@email.com,29,M,1,Standard,2023-07-26,2024-04-24,252,8,121.61,15.2,0.736,0.548,Romance,Jurong Point,GV App
GV000086,Arjun Chua,arjun.chua27@email.com,65,F,1,Silver,2024-06-10,2024-11-28,34,18,1465.74,81.43,0.883,0.174,Comedy,Kallang Leisure Park,Social Media
GV000087,Wei Jie Ramachandran,wei.jie.ramachandran27@email.com,50,M,0,Free,2024-03-18,2024-11-24,38,11,834.97,75.91,0.51,0.685,Drama,Tampines,Partner Referral
GV000088,Darren Pillai,darren.pillai91@email.com,61,M,0,Free,2021-10-11,2024-10-12,81,6,110.31,18.38,0.377,0.491,Drama,Vivocity,Partner Referral
GV000089,Tan Wei Goh,tan.wei.goh57@email.com,59,M,0,Free,2023-10-16,2024-11-02,60,5,64.61,12.92,0.33,0.496,Comedy,Yishun,GV App
GV000090,Farhan Abdullah,farhan.abdullah26@email.com,20,M,1,Standard,2022-04-28,2024-01-06,361,12,297.85,24.82,0.553,0.467,Sci-Fi,JEM,GV App
GV000091,Hui Fen Singh,hui.fen.singh19@email.com,63,M,1,Silver,2024-08-22,2024-11-06,56,16,1081.54,67.6,0.803,0.361,Romance,Paya Lebar,Corporate
GV000092,Wei Jie Abdullah,wei.jie.abdullah87@email.com,41,M,1,Gold,2023-02-19,2024-12-05,27,37,997.71,26.97,0.962,0.979,Sci-Fi,Tampines,GV App
GV000093,Hafiz Nair,hafiz.nair92@email.com,24,F,1,Silver,2023-05-24,2024-11-06,56,12,1050.06,87.5,0.795,0.344,Comedy,Yishun,GV App
GV000094,Zhen Wei Wong,zhen.wei.wong25@email.com,44,F,0,Free,2021-12-21,2024-10-22,71,5,63.57,12.71,0.578,0.417,Animation,JEM,GV App
GV000095,Mei Ling Nair,mei.ling.nair38@email.com,40,M,0,Free,2024-06-10,2024-10-19,74,1,12.65,12.65,0.531,0.446,Romance,Yishun,Website
GV000096,Mei Ling Ramachandran,mei.ling.ramachandran87@email.com,50,F,1,Standard,2024-08-24,2024-07-04,181,5,86.31,17.26,0.38,0.598,Sci-Fi,Paya Lebar,Website
GV000097,Farhan Hussain,farhan.hussain81@email.com,45,M,1,Gold,2022-11-24,2024-12-28,4,33,1057.69,32.05,0.814,0.93,Thriller,Jurong Point,GV App
GV000098,Shreya Ramachandran,shreya.ramachandran70@email.com,26,F,0,Free,2022-12-19,2024-12-20,12,15,935.14,62.34,0.618,0.314,Animation,JEM,Partner Referral
GV000099,Karthik Koh,karthik.koh42@email.com,32,F,1,Standard,2022-11-28,2024-08-05,149,5,61.89,12.38,0.366,0.35,Sci-Fi,Bishan,GV App
GV000100,Darren Lee,darren.lee62@email.com,44,M,0,Free,2023-04-17,2024-08-02,152,1,13.67,13.67,0.343,0.545,Thriller,Tampines,Website
GV000101,Nadia Chua,nadia.chua22@email.com,37,F,0,Free,2022-04-22,2024-12-25,7,34,997.66,29.34,0.881,0.837,Thriller,Vivocity,Website
GV000102,Darren Goh,darren.goh45@email.com,39,F,1,Platinum,2023-07-07,2024-12-22,10,27,933.58,34.58,0.946,0.945,Sci-Fi,Kallang Leisure Park,GV App
GV000103,Jun Hao Hussain,jun.hao.hussain14@email.com,25,M,0,Free,2024-10-17,2024-05-01,245,9,181.18,20.13,0.763,0.423,Animation,Bishan,Website
GV000104,Ryan Abdullah,ryan.abdullah22@email.com,23,Prefer not to say,1,Standard,2022-01-24,2024-07-19,166,2,36.07,18.03,0.469,0.42,Thriller,Jurong Point,Website
GV000105,Faiz Hussain,faiz.hussain62@email.com,27,M,0,Free,2023-07-01,2024-08-08,146,6,101.1,16.85,0.689,0.512,Animation,Bishan,GV App
GV000106,Xiu Ying Pillai,xiu.ying.pillai16@email.com,42,F,0,Free,2023-09-03,2024-07-14,171,5,68.69,13.74,0.469,0.49,Romance,Jurong Point,GV App
GV000107,Hafiz Koh,hafiz.koh66@email.com,24,F,1,Standard,2023-07-07,2024-05-22,224,11,324.48,29.5,0.64,0.787,Horror,Tampines,GV App
GV000108,Xiu Ying Singh,xiu.ying.singh10@email.com,54,F,1,Standard,2024-11-30,2024-01-04,363,12,208.12,17.34,0.416,0.638,Thriller,Paya Lebar,GV App
GV000109,Hui Fen Patel,hui.fen.patel80@email.com,50,F,0,Free,2023-02-18,2024-10-11,82,3,43.46,14.49,0.569,0.571,Drama,Tampines,GV App
GV000110,Xiu Ying Wong,xiu.ying.wong30@email.com,54,M,0,Free,2023-07-09,2024-12-05,27,29,650.85,22.44,0.867,0.825,Sci-Fi,JEM,Social Media
GV000111,Farhan Teo,farhan.teo85@email.com,39,F,0,Free,2022-11-24,2024-12-08,24,18,1084.16,60.23,0.78,0.296,Comedy,JEM,GV App
GV000112,Ryan Hussain,ryan.hussain39@email.com,31,F,1,Standard,2023-10-11,2024-03-19,288,6,108.18,18.03,0.598,0.453,Sci-Fi,Vivocity,GV App
GV000113,Ryan Nair,ryan.nair13@email.com,36,F,0,Free,2024-08-19,2024-11-09,53,10,683.42,68.34,0.719,0.215,Romance,Tampines,GV App
GV000114,Amirah Kumar,amirah.kumar93@email.com,16,F,1,Standard,2022-09-13,2024-07-03,182,12,340.01,28.33,0.462,0.444,Romance,Yishun,Website
GV000115,Darren Ong,darren.ong81@email.com,59,M,1,Platinum,2022-05-04,2024-12-03,29,22,723.69,32.89,0.956,0.911,Thriller,Paya Lebar,Partner Referral
GV000116,Ryan Patel,ryan.patel19@email.com,53,F,1,Platinum,2023-06-30,2024-12-24,8,34,966.78,28.43,0.807,0.691,Sci-Fi,Paya Lebar,Website
GV000117,Faiz Ong,faiz.ong43@email.com,16,M,0,Free,2021-11-12,2024-04-12,264,6,161.24,26.87,0.531,0.516,Romance,Tampines,Walk-in
GV000118,Wei Jie Teo,wei.jie.teo45@email.com,54,M,1,Platinum,2022-12-26,2024-12-27,5,34,840.71,24.73,0.809,0.852,Action,Tampines,Website
GV000119,Amirah Lim,amirah.lim29@email.com,57,F,1,Gold,2022-12-22,2024-12-30,2,35,1089.19,31.12,0.913,0.735,Thriller,Tampines,Social Media
GV000120,Rajan Chua,rajan.chua41@email.com,68,F,0,Free,2024-11-18,2024-10-01,92,5,78.68,15.74,0.527,0.451,Thriller,JEM,GV App
GV000121,Jun Hao Hussain,jun.hao.hussain32@email.com,67,F,1,Gold,2024-01-20,2024-12-01,31,18,1368.1,76.01,0.66,0.372,Comedy,Bishan,Walk-in
GV000122,Nadia Kumar,nadia.kumar39@email.com,28,F,0,Free,2022-09-08,2024-10-20,73,2,38.59,19.3,0.485,0.488,Drama,Kallang Leisure Park,GV App
GV000123,Arjun Kumar,arjun.kumar35@email.com,22,M,1,Silver,2024-08-09,2024-02-06,330,5,143.89,28.78,0.417,0.779,Sci-Fi,Vivocity,Website
GV000124,Hafiz Ng,hafiz.ng87@email.com,42,F,0,Free,2022-06-26,2024-07-24,161,2,33.09,16.54,0.384,0.59,Horror,JEM,Walk-in
GV000125,Surya Tan,surya.tan20@email.com,39,F,0,Free,2023-06-16,2024-12-14,18,18,517.63,28.76,0.777,0.797,Sci-Fi,Tampines,Website
GV000126,Karthik Lee,karthik.lee17@email.com,42,M,1,Platinum,2022-03-14,2024-12-13,19,10,744.41,74.44,0.674,0.736,Action,Paya Lebar,GV App
GV000127,Chen Hao Tan,chen.hao.tan23@email.com,59,M,1,Platinum,2023-01-18,2024-12-20,12,19,591.52,31.13,0.884,0.897,Action,Jurong Point,Website
GV000128,Hui Min Singh,hui.min.singh53@email.com,64,F,1,Silver,2022-03-27,2024-11-18,44,13,1080.36,83.1,0.702,0.201,Romance,Jurong Point,Website
GV000129,Farhan Ong,farhan.ong93@email.com,47,Prefer not to say,0,Free,2022-11-05,2024-06-25,190,2,31.68,15.84,0.559,0.601,Comedy,Vivocity,GV App
GV000130,Li Ting Ng,li.ting.ng74@email.com,62,M,0,Free,2024-10-06,2024-12-06,26,28,957.67,34.2,0.848,0.934,Thriller,Tampines,GV App
GV000131,Rajan Singh,rajan.singh92@email.com,64,M,0,Free,2023-05-13,2024-11-28,34,10,753.23,75.32,0.766,0.224,Comedy,Yishun,GV App
GV000132,Xiu Ying Ramachandran,xiu.ying.ramachandran71@email.com,51,F,1,Platinum,2023-10-03,2024-12-12,20,10,689.42,68.94,0.409,0.645,Action,Jurong Point,GV App
GV000133,Surya Pillai,surya.pillai22@email.com,55,M,0,Free,2023-05-30,2024-09-25,98,3,56.56,18.85,0.538,0.476,Action,Tampines,Website
GV000134,Tan Wei Ong,tan.wei.ong88@email.com,56,M,0,Free,2024-02-25,2024-12-13,19,14,941.01,67.22,0.641,0.267,Comedy,Tampines,GV App
GV000135,Arjun Hussain,arjun.hussain40@email.com,49,M,0,Free,2023-04-21,2024-09-13,110,1,19.96,19.96,0.692,0.451,Thriller,Yishun,Walk-in
GV000136,Hui Min Nair,hui.min.nair12@email.com,35,M,1,Gold,2022-01-05,2024-12-03,29,37,875.11,23.65,0.919,0.937,Thriller,Yishun,Website
GV000137,Zhen Wei Abdullah,zhen.wei.abdullah70@email.com,19,F,0,Free,2024-09-25,2024-12-06,26,10,640.09,64.01,0.814,0.155,Animation,JEM,Walk-in
GV000138,Jia Qi Patel,jia.qi.patel64@email.com,38,M,1,Standard,2024-11-29,2024-09-06,117,1,13.29,13.29,0.323,0.454,Sci-Fi,Yishun,Corporate
GV000139,Chen Hao Goh,chen.hao.goh85@email.com,62,F,0,Free,2023-09-12,2024-07-18,167,7,112.24,16.03,0.505,0.466,Drama,JEM,GV App
GV000140,Hui Min Abdullah,hui.min.abdullah83@email.com,45,M,1,Gold,2022-03-06,2024-12-10,22,24,674.03,28.08,0.835,0.997,Action,Paya Lebar,GV App
GV000141,Jasmine Koh,jasmine.koh51@email.com,48,M,1,Gold,2023-08-11,2024-12-01,31,8,423.72,52.97,0.586,0.631,Drama,Bishan,Website
GV000142,Nicole Chen,nicole.chen86@email.com,18,F,0,Free,2021-11-26,2024-12-21,11,23,633.2,27.53,0.86,0.885,Sci-Fi,Paya Lebar,GV App
GV000143,Arjun Koh,arjun.koh39@email.com,46,F,1,Silver,2023-12-31,2024-12-15,17,18,1274.64,70.81,0.681,0.127,Romance,Vivocity,Website
GV000144,Siti Pillai,siti.pillai25@email.com,41,F,0,Free,2024-01-28,2024-12-10,22,10,813.9,81.39,0.664,0.267,Comedy,Paya Lebar,GV App
GV000145,Surya Yeo,surya.yeo13@email.com,34,F,0,Free,2024-01-13,2024-12-13,19,22,596.65,27.12,0.71,0.962,Thriller,Yishun,GV App
GV000146,Karthik Pillai,karthik.pillai48@email.com,46,F,1,Standard,2022-09-21,2024-09-05,118,6,87.88,14.65,0.546,0.693,Horror,Kallang Leisure Park,Corporate
GV000147,Zhen Wei Singh,zhen.wei.singh45@email.com,41,M,1,Standard,2021-11-06,2024-04-23,253,7,105.22,15.03,0.741,0.769,Comedy,Kallang Leisure Park,Partner Referral
GV000148,Shreya Ramachandran,shreya.ramachandran95@email.com,63,F,1,Gold,2023-09-21,2024-12-15,17,27,915.29,33.9,0.715,0.818,Sci-Fi,Vivocity,Walk-in
GV000149,Faiz Kumar,faiz.kumar47@email.com,51,F,1,Platinum,2022-09-20,2024-12-15,17,10,785.34,78.53,0.687,0.822,Action,Jurong Point,GV App
GV000150,Hafiz Lim,hafiz.lim18@email.com,18,F,1,Silver,2023-03-17,2024-11-22,40,15,1211.47,80.76,0.671,0.328,Animation,Paya Lebar,Website
GV000151,Farhan Kumar,farhan.kumar82@email.com,67,F,0,Free,2024-06-27,2024-09-16,107,2,35.18,17.59,0.635,0.612,Action,Yishun,Website
GV000152,Farhan Koh,farhan.koh76@email.com,19,M,1,Standard,2022-09-08,2024-02-03,333,14,406.76,29.05,0.518,0.551,Thriller,Kallang Leisure Park,GV App
GV000153,Jun Hao Nair,jun.hao.nair90@email.com,23,M,1,Silver,2023-12-19,2024-06-23,192,6,179.91,29.99,0.643,0.745,Animation,Paya Lebar,Walk-in
GV000154,Siti Abdullah,siti.abdullah49@email.com,31,M,0,Free,2023-01-30,2024-12-03,29,15,1137.51,75.83,0.838,0.396,Comedy,Paya Lebar,GV App
GV000155,Karthik Hussain,karthik.hussain53@email.com,52,M,0,Free,2022-04-20,2024-06-25,190,2,38.31,19.15,0.66,0.599,Drama,Tampines,Website
GV000156,Nadia Abdullah,nadia.abdullah42@email.com,60,F,0,Free,2022-10-23,2024-11-14,48,9,728.35,80.93,0.61,0.18,Romance,Paya Lebar,Walk-in
GV000157,Chen Hao Ng,chen.hao.ng21@email.com,31,M,0,Free,2022-08-07,2024-05-19,227,5,88.64,17.73,0.521,0.551,Action,Jurong Point,GV App
